Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
Full,0,0,32,3489621044,3489621044,4007657472,3273016212.108412,1.0,1.0661789670000001
Full,0,0,32,3489621044,3489621044,4007657472,3368974850.7013035,1.0,1.035810951
Full,0,0,32,3489621044,3489621044,4007657472,3354109222.1096,1.0,1.0404017319999999
Full,0,0,64,3489621044,3489621044,4007657472,2891657246.0150247,1.0,1.206789307
Full,0,0,64,3489621044,3489621044,4007657472,3424317296.2378564,1.0,1.019070589
Full,0,0,64,3489621044,3489621044,4007657472,3434507049.158213,1.0,1.0160471340000001
Full,0,0,128,3489621044,3489621044,4007657472,3338255189.8848147,1.0,1.045342805
Full,0,0,128,3489621044,3489621044,4007657472,3397994138.842111,1.0,1.026964998
Full,0,0,128,3489621044,3489621044,4007657472,3356449867.7569036,1.0,1.0396762
Full,0,0,256,3489621044,3489621044,4007657472,3426111176.580286,1.0,1.018537013
Full,0,0,256,3489621044,3489621044,4007657472,3429058379.663616,1.0,1.017661602
Full,0,0,256,3489621044,3489621044,4007657472,3419482694.0256243,1.0,1.020511392
Full,0,0,512,3489621044,3489621044,4007657472,3407566704.852061,1.0,1.024080039
Full,0,0,512,3489621044,3489621044,4007657472,3385878281.9532347,1.0,1.030639838
Full,0,0,512,3489621044,3489621044,4007657472,3376484551.48379,1.0,1.0335071850000002
Full,0,0,1024,3489621044,3489621044,4007657472,3343953442.8508787,1.0,1.043561492
Full,0,0,1024,3489621044,3489621044,4007657472,3365789112.0218368,1.0,1.036791352
Full,0,0,1024,3489621044,3489621044,4007657472,3354180806.2182474,1.0,1.040379528
Full,0,0,2048,3489621044,3489621044,4007657472,3377758321.928015,1.0,1.033117444
Full,0,0,2048,3489621044,3489621044,4007657472,3346460122.480623,1.0,1.042779808
Full,0,0,2048,3489621044,3489621044,4007657472,3349132134.832217,1.0,1.041947855
Full,0,0,4096,3489621044,3489621044,4007657472,3307987348.2570324,1.0,1.0549076149999999
Full,0,0,4096,3489621044,3489621044,4007657472,3344670019.012967,1.0,1.0433379150000002
Full,0,0,4096,3489621044,3489621044,4007657472,3339134774.539967,1.0,1.045067444
Basic,0,0,32,3489621044,3925823720,9693036544,1890034743.5859663,0.8888888785867339,1.8463264
Basic,0,0,32,3489621044,3925823720,9693036544,1928090250.1689749,0.8888888785867339,1.8098847
Basic,0,0,32,3489621044,3925823720,9693036544,1912938390.1714065,0.8888888785867339,1.8242203
Basic,0,0,64,3489621044,3707722404,8596226048,2479877495.245313,0.9411764592287961,1.4071747700000001
Basic,0,0,64,3489621044,3707722404,8596226048,2475118646.0643597,0.9411764592287961,1.4098803100000001
Basic,0,0,64,3489621044,3707722404,8596226048,2451838515.0874143,0.9411764592287961,1.42326708
Basic,0,0,128,3489621044,3598671812,8046772224,2796507544.081752,0.9696969399553571,1.24784968
Basic,0,0,128,3489621044,3598671812,8046772224,2799150008.7657404,0.9696969399553571,1.24667168
Basic,0,0,128,3489621044,3598671812,8046772224,2832539792.9829803,0.9696969399553571,1.231976
Basic,0,0,256,3489621044,3544146612,7772045312,3088859610.2830863,0.9846153181656244,1.12974414
Basic,0,0,256,3489621044,3544146612,7772045312,3098248441.8734775,0.9846153181656244,1.1263206
Basic,0,0,256,3489621044,3544146612,7772045312,3012086635.9832044,0.9846153181656244,1.1585394
Basic,0,0,512,3489621044,3516884204,7633633280,3145648302.703291,0.9922479221894791,1.1093487599999998
Basic,0,0,512,3489621044,3516884204,7633633280,2791542675.047313,0.9922479221894791,1.25006903
Basic,0,0,512,3489621044,3516884204,7633633280,3148737466.393277,0.9922479221894791,1.1082604
Basic,0,0,1024,3489621044,3503253384,7566524416,3225987327.0381417,0.9961086628611389,1.08172187
Basic,0,0,1024,3489621044,3503253384,7566524416,3226587590.8441987,0.9961086628611389,1.08152063
Basic,0,0,1024,3489621044,3503253384,7566524416,3235730066.744319,0.9961086628611389,1.07846482
Basic,0,0,2048,3489621044,3496437716,7532969984,3229425638.9714546,0.9980503951296469,1.08057018
Basic,0,0,2048,3489621044,3496437716,7532969984,3262662232.928407,0.9980503951296469,1.06956246
Basic,0,0,2048,3489621044,3496437716,7532969984,3245525916.13917,0.9980503951296469,1.07520973
Basic,0,0,4096,3489621044,3493031932,7516192768,3233093233.5693154,0.9990235165133325,1.07934439
Basic,0,0,4096,3489621044,3493031932,7516192768,3247080496.218201,0.9990235165133325,1.07469496
Basic,0,0,4096,3489621044,3493031932,7516192768,3258964963.414799,0.9990235165133325,1.07077587
List,0,0,32,3489621044,891567804,13790871552,2890579154.3914156,3.91402765818134,1.2072394
List,0,0,32,3489621044,891567804,13790871552,2925301436.4286857,3.91402765818134,1.1929099
List,0,0,32,3489621044,891567804,13790871552,2923726965.295111,3.91402765818134,1.1935523
List,0,0,64,3489621044,479858312,8929673216,5479691602.756161,7.272190471090558,0.636828
List,0,0,64,3489621044,479858312,8929673216,5406990643.898729,7.272190471090558,0.64539062
List,0,0,64,3489621044,479858312,8929673216,5688594811.118632,7.272190471090558,0.61344166
List,0,0,128,3489621044,290427212,6515851264,10046230472.426205,12.015475478241344,0.34735626000000003
List,0,0,128,3489621044,290427212,6515851264,9878573888.575136,12.015475478241344,0.3532515
List,0,0,128,3489621044,290427212,6515851264,9999692652.29044,12.015475478241344,0.34897282999999996
List,0,0,256,3489621044,220214456,5345640448,14684016744.458326,15.846466700623868,0.23764758000000002
List,0,0,256,3489621044,220214456,5345640448,17289118805.742096,15.846466700623868,0.20183915
List,0,0,256,3489621044,220214456,5345640448,16743807112.658812,15.846466700623868,0.20841263999999998
List,0,0,512,3489621044,223080284,4791992320,23005049754.646584,15.642893138866544,0.15168935
List,0,0,512,3489621044,223080284,4791992320,22262366454.35802,15.642893138866544,0.15674978
List,0,0,512,3489621044,223080284,4791992320,23659291470.32633,15.642893138866544,0.14749474
List,0,0,1024,3489621044,282210692,4611637248,25973320374.53874,12.365304160765106,0.13435406
List,0,0,1024,3489621044,282210692,4611637248,24963595291.16865,12.365304160765106,0.1397884
List,0,0,1024,3489621044,282210692,4611637248,25628301564.61982,12.365304160765106,0.13616279
List,0,0,2048,3489621044,394324332,4580179968,21600660470.13217,8.849621392372002,0.16155159
List,0,0,2048,3489621044,394324332,4580179968,22338850224.469013,8.849621392372002,0.1562131
List,0,0,2048,3489621044,394324332,4580179968,21612528179.851616,8.849621392372002,0.16146288
List,0,0,4096,3489621044,556019400,4643094528,17217896774.752525,6.276077856276238,0.20267406000000002
List,0,0,4096,3489621044,556019400,4634705920,17010374696.381804,6.276077856276238,0.20514663
List,0,0,4096,3489621044,556019400,4634705920,12586873444.685038,6.276077856276238,0.27724287999999997
TreeLowOffset,0,0,32,3489621044,890182884,19421724672,1862077655.469687,3.920116985758625,1.8740469999999998
TreeLowOffset,0,0,32,3489621044,890182884,19421724672,1861239423.5184875,3.920116985758625,1.8748909999999999
TreeLowOffset,0,0,32,3489621044,890182884,19421724672,1848530652.6551542,3.920116985758625,1.8877810000000002
TreeLowOffset,0,0,64,3489621044,478301400,11750342656,3454146954.774466,7.2958620735795465,1.01027
TreeLowOffset,0,0,64,3489621044,478301400,11750342656,3602896097.2990828,7.2958620735795465,0.9685600000000001
TreeLowOffset,0,0,64,3489621044,478301400,11750342656,3457185727.5045524,7.2958620735795465,1.009382
TreeLowOffset,0,0,128,3489621044,289225444,7929331712,6151312353.1413,12.065401286063892,0.5672969999999999
TreeLowOffset,0,0,128,3489621044,289225444,7929331712,6722750338.871119,12.065401286063892,0.5190764
TreeLowOffset,0,0,128,3489621044,289225444,7929331712,6590034642.041056,12.065401286063892,0.52953
TreeLowOffset,0,0,256,3489621044,219357520,6048186368,11117904139.877787,15.908372067663784,0.313874
TreeLowOffset,0,0,256,3489621044,219357520,6048186368,11234850763.086964,15.908372067663784,0.3106068
TreeLowOffset,0,0,256,3489621044,219357520,6048186368,11938172857.515263,15.908372067663784,0.2923078
TreeLowOffset,0,0,512,3489621044,222481816,5221908480,16693644312.135208,15.684971952943785,0.20903889999999997
TreeLowOffset,0,0,512,3489621044,222481816,5192548352,17036819363.739952,15.684971952943785,0.20482820000000002
TreeLowOffset,0,0,512,3489621044,222481816,5192548352,17006447771.377333,15.684971952943785,0.205194
TreeLowOffset,0,0,1024,3489621044,281777356,4819255296,21806737851.421867,12.384320349716107,0.16002490000000003
TreeLowOffset,0,0,1024,3489621044,281777356,4819255296,21413565672.228867,12.384320349716107,0.1629631
TreeLowOffset,0,0,1024,3489621044,281777356,4819255296,7591421945.0726,12.384320349716107,0.45967949999999996
TreeLowOffset,0,0,2048,3489621044,393985736,4672454656,20070011364.655922,8.857226861634402,0.17387239999999998
TreeLowOffset,0,0,2048,3489621044,393985736,4672454656,18044773707.40919,8.857226861634402,0.1933868
