Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
Full,0,0,32,5348897756,5348897756,5867831296,3401351268.0375943,1.0,1.572580229
Full,0,0,32,5348897756,5348897756,5867831296,3388509933.847477,1.0,1.578539789
Full,0,0,32,5348897756,5348897756,5867831296,3354043977.392296,1.0,1.59476077
Full,0,0,64,5348897756,5348897756,5867831296,3415409954.9819226,1.0,1.566107093
Full,0,0,64,5348897756,5348897756,5867831296,3109911965.4130807,1.0,1.719951502
Full,0,0,64,5348897756,5348897756,5867831296,3420172494.6744165,1.0,1.563926312
Full,0,0,128,5348897756,5348897756,5867831296,2676745410.462124,1.0,1.998284086
Full,0,0,128,5348897756,5348897756,5867831296,3350527314.145101,1.0,1.596434607
Full,0,0,128,5348897756,5348897756,5867831296,3341087412.7563033,1.0,1.60094517
Full,0,0,256,5348897756,5348897756,5867831296,3087552445.1572995,1.0,1.7324070930000002
Full,0,0,256,5348897756,5348897756,5867831296,3391959700.906939,1.0,1.5769343470000001
Full,0,0,256,5348897756,5348897756,5867831296,3376816065.3552876,1.0,1.584006251
Full,0,0,512,5348897756,5348897756,5867831296,3368833371.8274045,1.0,1.587759668
Full,0,0,512,5348897756,5348897756,5867831296,3165478731.8346066,1.0,1.689759499
Full,0,0,512,5348897756,5348897756,5867831296,3261940651.7930474,1.0,1.639790029
Full,0,0,1024,5348897756,5348897756,5867831296,3374745667.059039,1.0,1.584978035
Full,0,0,1024,5348897756,5348897756,5867831296,3393367258.096187,1.0,1.57628024
Full,0,0,1024,5348897756,5348897756,5867831296,3358576446.522997,1.0,1.592608607
Full,0,0,2048,5348897756,5348897756,5867831296,1790243360.567995,1.0,2.987804828
Full,0,0,2048,5348897756,5348897756,5867831296,2514894330.7502127,1.0,2.126887675
Full,0,0,2048,5348897756,5348897756,5867831296,3045811124.8492465,1.0,1.756148867
Full,0,0,4096,5348897756,5348897756,5867831296,3265292377.911716,1.0,1.638106833
Full,0,0,4096,5348897756,5348897756,5867831296,3256756800.076681,1.0,1.642400119
