Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
Full,0,0,32,3262906112,3262906112,3781165056,3314332636.1732492,1.0,0.984483596
Full,0,0,32,3262906112,3262906112,3781165056,3496332357.5488653,1.0,0.9332368259999999
Full,0,0,32,3262906112,3262906112,3781165056,3453054044.007529,1.0,0.944933404
Full,0,0,64,3262906112,3262906112,3781165056,3402020929.2698736,1.0,0.959108183
Full,0,0,64,3262906112,3262906112,3781165056,3183538740.2590346,1.0,1.02493055
Full,0,0,64,3262906112,3262906112,3781165056,3384108007.98826,1.0,0.96418498
Full,0,0,128,3262906112,3262906112,3781165056,3367914465.301884,1.0,0.968820956
Full,0,0,128,3262906112,3262906112,3781165056,3362899635.81037,1.0,0.970265683
Full,0,0,128,3262906112,3262906112,3781165056,3367762112.8192434,1.0,0.9688647840000001
Full,0,0,256,3262906112,3262906112,3781165056,3359112325.145503,1.0,0.971359632
Full,0,0,256,3262906112,3262906112,3781165056,3387797824.225524,1.0,0.963134839
Full,0,0,256,3262906112,3262906112,3781165056,2729489957.899932,1.0,1.1954270439999999
Full,0,0,512,3262906112,3262906112,3781165056,3285850565.759841,1.0,0.993017195
Full,0,0,512,3262906112,3262906112,3781165056,3360744235.988614,1.0,0.970887959
Full,0,0,512,3262906112,3262906112,3781165056,3329728970.9783597,1.0,0.9799314419999999
Full,0,0,1024,3262906112,3262906112,3781165056,3313493879.12438,1.0,0.9847328019999999
Full,0,0,1024,3262906112,3262906112,3781165056,3299090907.270028,1.0,0.989031889
Full,0,0,1024,3262906112,3262906112,3781165056,3330406045.714812,1.0,0.979732221
Full,0,0,2048,3262906112,3262906112,3781165056,3246599178.060019,1.0,1.005022774
Full,0,0,2048,3262906112,3262906112,3781165056,3363962499.0299335,1.0,0.969959122
Full,0,0,2048,3262906112,3262906112,3781165056,3328816655.141264,1.0,0.980200008
Full,0,0,4096,3262906112,3262906112,3781165056,3290980153.882672,1.0,0.991469398
Full,0,0,4096,3262906112,3262906112,3781165056,3290355634.068051,1.0,0.991657582
Full,0,0,4096,3262906112,3262906112,3781165056,3281649713.7711635,1.0,0.9942883600000001
Basic,0,0,32,3262906112,3670769408,9099542528,1991201061.988184,0.8888888811399837,1.6386623
Basic,0,0,32,3262906112,3670769408,9099542528,1926916623.8220992,0.8888888811399837,1.6933302
Basic,0,0,32,3262906112,3670769408,9099542528,1958474765.8300846,0.8888888811399837,1.6660445
Basic,0,0,64,3262906112,3466837776,8074035200,2403358251.736739,0.9411764619008813,1.3576445000000001
Basic,0,0,64,3262906112,3466837776,8074035200,2037515207.494455,0.9411764619008813,1.60141436
Basic,0,0,64,3262906112,3466837776,8074035200,2239315984.648021,0.9411764619008813,1.45709946
Basic,0,0,128,3262906112,3364871960,7560232960,2824722135.8270235,0.969696960475132,1.15512463
Basic,0,0,128,3262906112,3364871960,7560232960,2816947516.7029805,0.969696960475132,1.1583127100000001
Basic,0,0,128,3262906112,3364871960,7560232960,2752657544.1943746,0.969696960475132,1.1853658
Basic,0,0,256,3262906112,3313889052,7304380416,2303655440.156959,0.9846153751076154,1.41640371
Basic,0,0,256,3262906112,3313889052,7304380416,2888470068.644612,0.9846153751076154,1.12963127
Basic,0,0,256,3262906112,3313889052,7304380416,2957622210.7122717,0.9846153751076154,1.1032193700000001
Basic,0,0,512,3262906112,3288397856,7174356992,2713798690.2596126,0.992247974510296,1.20233904
Basic,0,0,512,3262906112,3288397856,7174356992,3144327667.219685,0.992247974510296,1.03771186
Basic,0,0,512,3262906112,3288397856,7174356992,3142434778.4448466,0.992247974510296,1.03833694
Basic,0,0,1024,3262906112,3275652128,7109345280,3148749520.605255,0.9961088615329301,1.03625458
Basic,0,0,1024,3262906112,3275652128,7109345280,3185957900.9879684,0.9961088615329301,1.0241523
Basic,0,0,1024,3262906112,3275652128,7109345280,3189755512.6241016,0.9961088615329301,1.02293298
Basic,0,0,2048,3262906112,3269279264,7077888000,3218695113.713516,0.9980505941874778,1.01373569
Basic,0,0,2048,3262906112,3269279264,7077888000,3220495344.3996935,0.9980505941874778,1.01316902
Basic,0,0,2048,3262906112,3269279264,7077888000,3217102391.5037975,0.9980505941874778,1.01423757
Basic,0,0,4096,3262906112,3266092832,7063207936,3206738231.9590626,0.999024302074706,1.01751558
Basic,0,0,4096,3262906112,3266092832,7063207936,3213409673.5908103,0.999024302074706,1.01540309
Basic,0,0,4096,3262906112,3266092832,7063207936,3177381859.001634,0.999024302074706,1.02691658
List,0,0,32,3262906112,816065732,12926844928,2823197358.2487884,3.998337369225547,1.1557485
List,0,0,32,3262906112,816065732,12926844928,2868683581.865952,3.998337369225547,1.1374228
List,0,0,32,3262906112,816065732,12926844928,2853874543.108915,3.998337369225547,1.143325
List,0,0,64,3262906112,408889604,8363442176,5481985132.489011,7.979919469901709,0.59520521
List,0,0,64,3262906112,408889604,8363442176,5524886540.57428,7.979919469901709,0.59058337
List,0,0,64,3262906112,408889604,8363442176,5812867718.554616,7.979919469901709,0.56132468
List,0,0,128,3262906112,206028388,6077546496,10457637902.57015,15.837167604301209,0.31201176999999997
List,0,0,128,3262906112,206028388,6077546496,10183729415.23643,15.837167604301209,0.32040384999999993
List,0,0,128,3262906112,206028388,6077546496,10833789912.857035,15.837167604301209,0.30117864
List,0,0,256,3262906112,105480500,4942987264,14444220009.817749,30.93373762923005,0.22589700999999998
List,0,0,256,3262906112,105480500,4942987264,19329497211.271023,30.93373762923005,0.16880450000000002
List,0,0,256,3262906112,105480500,4942987264,18468849868.66532,30.93373762923005,0.17667078
List,0,0,512,3262906112,56695920,4376756224,34909996507.829994,57.550986243807316,0.09346624
List,0,0,512,3262906112,56695920,4376756224,32674733862.993694,57.550986243807316,0.09986022
List,0,0,512,3262906112,56695920,4376756224,34475325100.15354,57.550986243807316,0.09464468000000001
List,0,0,1024,3262906112,33873856,4097835008,55598400532.99663,96.32520466521437,0.058687050000000004
List,0,0,1024,3262906112,33873856,4039114752,51046955977.57812,96.32520466521437,0.0639197
List,0,0,1024,3262906112,33873856,4039114752,56578896834.09161,96.32520466521437,0.05767002
List,0,0,2048,3262906112,25069044,3946840064,82236942260.34348,130.15678268385503,0.039676890000000006
List,0,0,2048,3262906112,25069044,3957325824,79886840743.2163,130.15678268385503,0.040844099999999994
List,0,0,2048,3262906112,25069044,3946840064,83199621396.40672,130.15678268385503,0.039217800000000004
List,0,0,4096,3262906112,24827824,3909091328,78578573417.08867,131.4213485644171,0.041524120000000005
List,0,0,4096,3262906112,24827824,3909091328,84842129086.47646,131.4213485644171,0.03845856
List,0,0,4096,3262906112,24827824,3909091328,98609100585.3856,131.4213485644171,0.0330893
TreeLowOffset,0,0,32,3262906112,816050900,18184404992,1831777117.4532456,3.9984100403541003,1.781279
TreeLowOffset,0,0,32,3262906112,816050900,18184404992,1835021124.4397204,3.9984100403541003,1.77813
TreeLowOffset,0,0,32,3262906112,816050900,18184404992,1828854078.6917515,3.9984100403541003,1.784126
TreeLowOffset,0,0,64,3262906112,408865028,10991173632,3496511544.8210382,7.980399125747678,0.933189
TreeLowOffset,0,0,64,3262906112,408865028,10991173632,3463310578.632574,7.980399125747678,0.942135
TreeLowOffset,0,0,64,3262906112,408865028,10991173632,3508810574.6958337,7.980399125747678,0.9299179999999999
TreeLowOffset,0,0,128,3262906112,206002936,7392460800,7049819681.035635,15.8391243122865,0.46283539999999995
TreeLowOffset,0,0,128,3262906112,206002936,7392460800,6605975739.600047,15.8391243122865,0.49393249999999994
TreeLowOffset,0,0,128,3262906112,206002936,7392460800,6917714591.0098915,15.8391243122865,0.47167400000000004
TreeLowOffset,0,0,256,3262906112,105460704,5599395840,12378308815.635284,30.939544192688114,0.26359869999999996
TreeLowOffset,0,0,256,3262906112,105460704,5599395840,12189518326.457619,30.939544192688114,0.2676813
TreeLowOffset,0,0,256,3262906112,105460704,5599395840,12311761455.116245,30.939544192688114,0.26502349999999997
TreeLowOffset,0,0,512,3262906112,56678432,4706009088,22285905122.012524,57.56874346841494,0.1464112
TreeLowOffset,0,0,512,3262906112,56678432,4706009088,20326720233.237606,57.56874346841494,0.160523
TreeLowOffset,0,0,512,3262906112,56678432,4706009088,22769168639.749012,57.56874346841494,0.14330369999999998
TreeLowOffset,0,0,1024,3262906112,33861408,4259315712,41098521040.45354,96.36061536484247,0.07939230000000001
TreeLowOffset,0,0,1024,3262906112,33861408,4259315712,38635488741.74695,96.36061536484247,0.0844536
TreeLowOffset,0,0,1024,3262906112,33861408,4206886912,38038297168.90399,96.36061536484247,0.08577950000000001
TreeLowOffset,0,0,2048,3262906112,25060888,4037017600,59690164047.48641,130.19914186600252,0.054664050000000006
TreeLowOffset,0,0,2048,3262906112,25060888,4039114752,59580146221.153336,130.19914186600252,0.05476499
TreeLowOffset,0,0,2048,3262906112,25060888,4037017600,58496426685.17762,130.19914186600252,0.05577958
TreeLowOffset,0,0,4096,3262906112,24822524,3955228672,79605695569.59477,131.44940909312848,0.04098835
TreeLowOffset,0,0,4096,3262906112,24822524,3955228672,76023790376.13171,131.44940909312848,0.04291954
TreeLowOffset,0,0,4096,3262906112,24822524,3955228672,79074281119.46037,131.44940909312848,0.04126381
Full,0,1,32,3262906112,3262906112,3781165056,3420936556.756148,1.0,0.953804918
Full,0,1,32,3262906112,3262906112,3781165056,3471104405.142062,1.0,0.940019582
Full,0,1,32,3262906112,3262906112,3781165056,3493873298.6811585,1.0,0.9338936569999999
Full,0,1,64,3262906112,3262906112,3781165056,3545999137.5986276,1.0,0.9201655120000001
Full,0,1,64,3262906112,3262906112,3781165056,2522974927.981105,1.0,1.2932772639999999
