Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
Full,0,0,32,4210163456,4210163456,4729077760,3489135291.4123588,1.0,1.2066495289999999
Full,0,0,32,4210163456,4210163456,4729077760,3114742599.5233355,1.0,1.351689047
Full,0,0,32,4210163456,4210163456,4729077760,3363098546.991742,1.0,1.25187038
Full,0,0,64,4210163456,4210163456,4729077760,3370949447.5544224,1.0,1.248954789
Full,0,0,64,4210163456,4210163456,4729077760,3391078977.545648,1.0,1.241540962
Full,0,0,64,4210163456,4210163456,4729077760,3375739944.5925317,1.0,1.2471824029999998
Full,0,0,128,4210163456,4210163456,4729077760,3370252988.8412514,1.0,1.249212884
Full,0,0,128,4210163456,4210163456,4729077760,3324852778.707718,1.0,1.26627064
Full,0,0,128,4210163456,4210163456,4729077760,3365726736.587892,1.0,1.250892834
Full,0,0,256,4210163456,4210163456,4729077760,3431238263.644384,1.0,1.22700994
Full,0,0,256,4210163456,4210163456,4729077760,3140770761.3537908,1.0,1.3404873439999998
Full,0,0,256,4210163456,4210163456,4729077760,3377732545.1251435,1.0,1.246446662
Full,0,0,512,4210163456,4210163456,4729077760,3356361305.285461,1.0,1.254383266
Full,0,0,512,4210163456,4210163456,4729077760,3223978682.4409337,1.0,1.3058906
Full,0,0,512,4210163456,4210163456,4729077760,3333243029.9695487,1.0,1.263083255
Full,0,0,1024,4210163456,4210163456,4729077760,2961893484.2656593,1.0,1.421443235
Full,0,0,1024,4210163456,4210163456,4729077760,3339168230.037317,1.0,1.260841972
Full,0,0,1024,4210163456,4210163456,4729077760,3310600205.869034,1.0,1.2717221029999999
Full,0,0,2048,4210163456,4210163456,4729077760,3313673421.0446005,1.0,1.270542664
Full,0,0,2048,4210163456,4210163456,4729077760,3298127943.7846217,1.0,1.276531271
Full,0,0,2048,4210163456,4210163456,4729077760,3288797692.2729197,1.0,1.280152764
Full,0,0,4096,4210163456,4210163456,4729077760,3287153926.274767,1.0,1.280792914
Full,0,0,4096,4210163456,4210163456,4729077760,3168820279.1554236,1.0,1.328621722
Full,0,0,4096,4210163456,4210163456,4729077760,3247848827.0696993,1.0,1.2962929250000002
Basic,0,0,32,4210163456,4736433920,11588861952,1428958555.7014248,0.8888888828834332,2.9463160000000004
Basic,0,0,32,4210163456,4736433920,11588861952,1825445714.9130437,0.8888888828834332,2.3063756
Basic,0,0,32,4210163456,4736433920,11588861952,1945570349.069367,0.8888888828834332,2.1639739000000002
Basic,0,0,64,4210163456,4473298704,10265559040,2424321051.485686,0.9411764638554752,1.7366361
Basic,0,0,64,4210163456,4473298704,10265559040,2443066576.4109507,0.9411764638554752,1.72331098
Basic,0,0,64,4210163456,4473298704,10265559040,2480804215.096301,0.9411764638554752,1.6970962200000002
Basic,0,0,128,4210163456,4341731096,9602859008,2787712700.345828,0.9696969625499811,1.5102573000000001
Basic,0,0,128,4210163456,4341731096,9602859008,2740144885.9465804,0.9696969625499811,1.5364747600000002
Basic,0,0,128,4210163456,4341731096,9602859008,2554671057.7309823,0.9696969625499811,1.6480256599999998
Basic,0,0,256,4210163456,4275947292,9271508992,2738375579.321189,0.984615377246797,1.5374675
Basic,0,0,256,4210163456,4275947292,9271508992,3005600734.5088897,0.984615377246797,1.4007726999999999
Basic,0,0,256,4210163456,4275947292,9271508992,3010062603.2251415,0.984615377246797,1.39869631
Basic,0,0,512,4210163456,4243055648,9105833984,3143458928.3576107,0.9922479941983546,1.33934101
Basic,0,0,512,4210163456,4243055648,9105833984,3134416461.7270927,0.9922479941983546,1.34320487
Basic,0,0,512,4210163456,4243055648,9105833984,3139121434.2856965,0.9922479941983546,1.34119165
Basic,0,0,1024,4210163456,4226609696,9024045056,3195392959.596113,0.9961088813060821,1.31757299
Basic,0,0,1024,4210163456,4226609696,9024045056,3181032798.484213,0.9961088813060821,1.32352092
Basic,0,0,1024,4210163456,4226609696,9024045056,3199357685.108218,0.9961088813060821,1.31594022
Basic,0,0,2048,4210163456,4218386720,8982102016,3187973486.3586006,0.9980506140034501,1.32063942
Basic,0,0,2048,4210163456,4218386720,8982102016,3222231795.340171,0.9980506140034501,1.30659857
Basic,0,0,2048,4210163456,4218386720,8982102016,3196992556.2702947,0.9980506140034501,1.31691375
Basic,0,0,4096,4210163456,4214275232,8961130496,3199147275.704734,0.9990243219121574,1.31602677
Basic,0,0,4096,4210163456,4214275232,8961130496,3217112011.7927876,0.9990243219121574,1.3086779199999998
Basic,0,0,4096,4210163456,4214275232,8961130496,3187445181.7621527,0.9990243219121574,1.32085831
List,0,0,32,4210163456,1059502684,16548626432,2980102153.369356,3.97371664987684,1.4127581
List,0,0,32,4210163456,1059502684,16548626432,2964142141.220189,3.97371664987684,1.4203649
List,0,0,32,4210163456,1059502684,16548626432,2664078196.0752506,3.97371664987684,1.5803452999999998
List,0,0,64,4210163456,541998812,10649337856,5807091811.398442,7.767846280814357,0.72500377
List,0,0,64,4210163456,541998812,10649337856,5880295349.203564,7.767846280814357,0.71597823
List,0,0,64,4210163456,541998812,10649337856,5733691139.902203,7.767846280814357,0.7342850099999999
List,0,0,128,4210163456,284434860,7711227904,10432112174.401892,14.801854653118117,0.4035772799999999
List,0,0,128,4210163456,284434860,7711227904,10508036753.638884,14.801854653118117,0.40066128
List,0,0,128,4210163456,284434860,7711227904,10425636084.593151,14.801854653118117,0.40382797
List,0,0,256,4210163456,157119440,6247415808,20544670558.258522,26.79594234806336,0.20492728
List,0,0,256,4210163456,157119440,6247415808,18901150667.2543,26.79594234806336,0.22274641
List,0,0,256,4210163456,157119440,6247415808,20284644941.675716,26.79594234806336,0.20755421000000002
List,0,0,512,4210163456,96162248,5509218304,32938461029.328415,43.781874317247656,0.12781906999999998
List,0,0,512,4210163456,96162248,5509218304,33892154810.13241,43.781874317247656,0.12422236
List,0,0,512,4210163456,96162248,5509218304,35682217995.140625,43.781874317247656,0.11799052
List,0,0,1024,4210163456,68972404,5142216704,52044418941.05958,61.041274652395764,0.08089558
List,0,0,1024,4210163456,68972404,5142216704,53262093802.16493,61.041274652395764,0.07904615000000001
List,0,0,1024,4210163456,68972404,5108662272,55140982631.78871,61.041274652395764,0.07635270999999999
List,0,0,2048,4210163456,61436476,4932501504,69930217932.96626,68.52872641979009,0.06020521
List,0,0,2048,4210163456,61436476,4940890112,69431118280.80054,68.52872641979009,0.06063799
List,0,0,2048,4210163456,61436476,4924112896,74146680673.56386,68.52872641979009,0.05678155
List,0,0,4096,4210163456,66975952,4886364160,73636839237.78162,62.86082288162175,0.05717469
List,0,0,4096,4210163456,66975952,4865392640,86941186178.66402,62.86082288162175,0.04842542
List,0,0,4096,4210163456,66975952,4886364160,90375247846.10443,62.86082288162175,0.046585360000000006
TreeLowOffset,0,0,32,4210163456,1058979336,23135780864,1825008607.1173441,3.975680462191757,2.3069279999999996
TreeLowOffset,0,0,32,4210163456,1058979336,23135780864,1834214952.0617564,3.975680462191757,2.295349
TreeLowOffset,0,0,32,4210163456,1058979336,23135780864,1860498707.423411,3.975680462191757,2.262922
TreeLowOffset,0,0,64,4210163456,541299732,14057209856,3644702449.733626,7.777878330817278,1.1551460000000002
TreeLowOffset,0,0,64,4210163456,541299732,14057209856,3636083973.869576,7.777878330817278,1.157884
TreeLowOffset,0,0,64,4210163456,541299732,14057209856,3608274417.0420494,7.777878330817278,1.166808
TreeLowOffset,0,0,128,4210163456,283944628,9412018176,7031420303.448285,14.827410138571102,0.5987643
TreeLowOffset,0,0,128,4210163456,283944628,9412018176,6968186178.733823,14.827410138571102,0.6041979
TreeLowOffset,0,0,128,4210163456,283944628,9412018176,6754456414.110073,14.827410138571102,0.6233164
TreeLowOffset,0,0,256,4210163456,156821700,7094665216,12390482995.237354,26.846816837210667,0.3397901
TreeLowOffset,0,0,256,4210163456,156821700,7094665216,12694571294.43719,26.846816837210667,0.3316507
TreeLowOffset,0,0,256,4210163456,156821700,7094665216,12647037752.194971,26.846816837210667,0.3328972
TreeLowOffset,0,0,512,4210163456,95991880,5800722432,16077690248.782097,43.85957912273413,0.2618637
TreeLowOffset,0,0,512,4210163456,95991880,5934940160,21514321829.494633,43.85957912273413,0.1956912
TreeLowOffset,0,0,512,4210163456,95991880,5934940160,23049395817.217175,43.85957912273413,0.1826583
TreeLowOffset,0,0,1024,4210163456,68882336,5356126208,37213328890.29919,61.12108997000334,0.1131359
TreeLowOffset,0,0,1024,4210163456,68882336,5322571776,40136740432.14438,61.12108997000334,0.10489549999999999
TreeLowOffset,0,0,1024,4210163456,68882336,5356126208,38169766874.28039,61.12108997000334,0.11030099999999998
TreeLowOffset,0,0,2048,4210163456,61388116,5073010688,58446892522.97526,68.58271161147867,0.072034
TreeLowOffset,0,0,2048,4210163456,61388116,5039456256,55116013473.44389,68.58271161147867,0.07638729999999999
TreeLowOffset,0,0,2048,4210163456,61388116,5039456256,51600262477.0351,68.58271161147867,0.0815919
TreeLowOffset,0,0,4096,4210163456,66949156,4938792960,72327399441.33118,62.88598255069862,0.058209800000000006
TreeLowOffset,0,0,4096,4210163456,66949156,4922015744,65753803827.00392,62.88598255069862,0.06402920000000001
