Scenario,Approach,Rank,Chkpt ID,Number of Chkpts,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
AsiaOSM,Full,0,0,5,64,3489621044,3489621044,4007657472,2891657246.0150247,1.0,1.206789307
AsiaOSM,Full,0,0,5,64,3489621044,3489621044,4007657472,3424317296.2378564,1.0,1.019070589
AsiaOSM,Full,0,0,5,64,3489621044,3489621044,4007657472,3434507049.158213,1.0,1.0160471340000001
AsiaOSM,Basic,0,0,5,64,3489621044,3707722404,8596226048,2479877495.245313,0.9411764592287961,1.4071747700000001
AsiaOSM,Basic,0,0,5,64,3489621044,3707722404,8596226048,2475118646.0643597,0.9411764592287961,1.4098803100000001
AsiaOSM,Basic,0,0,5,64,3489621044,3707722404,8596226048,2451838515.0874143,0.9411764592287961,1.42326708
AsiaOSM,List,0,0,5,64,3489621044,479858312,8929673216,5479691602.756161,7.272190471090558,0.636828
AsiaOSM,List,0,0,5,64,3489621044,479858312,8929673216,5406990643.898729,7.272190471090558,0.64539062
AsiaOSM,List,0,0,5,64,3489621044,479858312,8929673216,5688594811.118632,7.272190471090558,0.61344166
AsiaOSM,TreeLowOffset,0,0,5,64,3489621044,478301400,11750342656,3454146954.774466,7.2958620735795465,1.01027
AsiaOSM,TreeLowOffset,0,0,5,64,3489621044,478301400,11750342656,3602896097.2990828,7.2958620735795465,0.9685600000000001
AsiaOSM,TreeLowOffset,0,0,5,64,3489621044,478301400,11750342656,3457185727.5045524,7.2958620735795465,1.009382
AsiaOSM,Full,0,1,5,64,3489621044,3489621044,4007657472,3431363677.4635725,1.0,1.016977905
AsiaOSM,Full,0,1,5,64,3489621044,3489621044,4007657472,3233714420.949856,1.0,1.079137051
AsiaOSM,Full,0,1,5,64,3489621044,3489621044,4007657472,3442261144.9730973,1.0,1.013758369
AsiaOSM,Basic,0,1,5,64,3489621044,120453600,8596226048,24835511059.4043,28.97066624824829,0.14050933100000002
AsiaOSM,Basic,0,1,5,64,3489621044,120453600,8596226048,26548760964.48809,28.97066624824829,0.131441955
AsiaOSM,Basic,0,1,5,64,3489621044,120453600,8596226048,27696596944.036747,28.97066624824829,0.12599457800000002
AsiaOSM,List,0,1,5,64,3489621044,60500776,8929673216,97945534740.91394,57.67894686177248,0.035628178999999996
AsiaOSM,List,0,1,5,64,3489621044,60500776,8929673216,100696359024.447,57.67894686177248,0.034654887999999995
AsiaOSM,List,0,1,5,64,3489621044,60500776,8929673216,94236576506.49542,57.67894686177248,0.037030431
AsiaOSM,TreeLowOffset,0,1,5,64,3489621044,57427400,11750342656,83956266112.81271,60.7657850433765,0.041564748
AsiaOSM,TreeLowOffset,0,1,5,64,3489621044,57427400,11750342656,81518989469.63965,60.7657850433765,0.042807462000000004
AsiaOSM,TreeLowOffset,0,1,5,64,3489621044,57427400,11750342656,56388304105.965164,60.7657850433765,0.061885547
AsiaOSM,Full,0,2,5,64,3489621044,3489621044,4007657472,3404157966.3873367,1.0,1.025105497
AsiaOSM,Full,0,2,5,64,3489621044,3489621044,4007657472,3295237716.062491,1.0,1.058989167
AsiaOSM,Full,0,2,5,64,3489621044,3489621044,4007657472,3480062485.1343937,1.0,1.002746663
AsiaOSM,Basic,0,2,5,64,3489621044,137061172,8596226048,26624680890.673218,25.46031814174185,0.13106715
AsiaOSM,Basic,0,2,5,64,3489621044,137061172,8596226048,26572738744.27312,25.46031814174185,0.13132334899999998
AsiaOSM,Basic,0,2,5,64,3489621044,137061172,8596226048,26635577389.330875,25.46031814174185,0.13101353100000002
AsiaOSM,List,0,2,5,64,3489621044,66663316,8929673216,94119983969.27548,52.346946617537,0.037076303
AsiaOSM,List,0,2,5,64,3489621044,66663316,8929673216,93212960091.97299,52.346946617537,0.03743708
AsiaOSM,List,0,2,5,64,3489621044,66663316,8929673216,90724899797.24553,52.346946617537,0.038463763
AsiaOSM,TreeLowOffset,0,2,5,64,3489621044,62702196,11750342656,76374340127.3607,55.653888804787634,0.045691014
AsiaOSM,TreeLowOffset,0,2,5,64,3489621044,62702196,11750342656,75297760951.63574,55.653888804787634,0.046344287
AsiaOSM,TreeLowOffset,0,2,5,64,3489621044,62702196,11750342656,80947743624.2496,55.653888804787634,0.043109552999999995
AsiaOSM,Full,0,3,5,64,3489621044,3489621044,4007657472,3396362175.841858,1.0,1.027458458
AsiaOSM,Full,0,3,5,64,3489621044,3489621044,4007657472,3410383388.100021,1.0,1.023234237
AsiaOSM,Full,0,3,5,64,3489621044,3489621044,4007657472,3020949806.498796,1.0,1.155140359
AsiaOSM,Basic,0,3,5,64,3489621044,155531808,8596226048,22202389606.84517,22.436703391244574,0.157173219
AsiaOSM,Basic,0,3,5,64,3489621044,155531808,8596226048,25441426382.874184,22.436703391244574,0.137162948
AsiaOSM,Basic,0,3,5,64,3489621044,155531808,8596226048,24736206275.8062,22.436703391244574,0.141073413
AsiaOSM,List,0,3,5,64,3489621044,76416560,8929673216,83514945270.2313,45.665769880245854,0.041784390000000005
AsiaOSM,List,0,3,5,64,3489621044,76416560,8929673216,73898067446.74231,45.665769880245854,0.047222087999999995
AsiaOSM,List,0,3,5,64,3489621044,76416560,8929673216,81736085057.66989,45.665769880245854,0.042693763
AsiaOSM,TreeLowOffset,0,3,5,64,3489621044,71836964,11750342656,75867206752.00154,48.57695606401184,0.045996435
AsiaOSM,TreeLowOffset,0,3,5,64,3489621044,71836964,11750342656,38936035116.664246,48.57695606401184,0.089624458
AsiaOSM,TreeLowOffset,0,3,5,64,3489621044,71836964,11750342656,66992272514.07489,48.57695606401184,0.052089904000000006
AsiaOSM,Full,0,4,5,64,3489621044,3489621044,4007657472,3282847898.15722,1.0,1.062985905
AsiaOSM,Full,0,4,5,64,3489621044,3489621044,4007657472,3407288879.46227,1.0,1.0241635409999998
AsiaOSM,Full,0,4,5,64,3489621044,3489621044,4007657472,3345931231.7861857,1.0,1.04294464
AsiaOSM,Basic,0,4,5,64,3489621044,284020732,8596226048,20004279110.543434,12.286501127671201,0.174443729
AsiaOSM,Basic,0,4,5,64,3489621044,284020732,8596226048,19424249609.98801,12.286501127671201,0.179652811
AsiaOSM,Basic,0,4,5,64,3489621044,284020732,8596226048,19777308509.07673,12.286501127671201,0.1764457
AsiaOSM,List,0,4,5,64,3489621044,128143652,8929673216,55040817024.39302,27.232102328408747,0.063400604
AsiaOSM,List,0,4,5,64,3489621044,128143652,8929673216,39260786978.49417,27.232102328408747,0.088883115
AsiaOSM,List,0,4,5,64,3489621044,128143652,8929673216,57421215280.046036,27.232102328408747,0.06077233
AsiaOSM,TreeLowOffset,0,4,5,64,3489621044,117737736,11750342656,53920315907.85591,29.63893448741022,0.064718112
AsiaOSM,TreeLowOffset,0,4,5,64,3489621044,117737736,11750342656,52689562702.3682,29.63893448741022,0.066229835
AsiaOSM,TreeLowOffset,0,4,5,64,3489621044,117737736,11750342656,53737308133.12703,29.63893448741022,0.064938516
AsiaOSM,Full,0,0,10,64,3489621044,3489621044,4007657472,3362100188.0390797,1.0,1.037928928
AsiaOSM,Full,0,0,10,64,3489621044,3489621044,4007657472,3377235383.952756,1.0,1.0332774139999998
AsiaOSM,Full,0,0,10,64,3489621044,3489621044,4007657472,3368589450.8079524,1.0,1.035929458
AsiaOSM,Basic,0,0,10,64,3489621044,3707722404,8596226048,2441989980.0218625,0.9411764592287961,1.4290071100000001
AsiaOSM,Basic,0,0,10,64,3489621044,3707722404,8596226048,2453141107.4726477,0.9411764592287961,1.42251134
AsiaOSM,Basic,0,0,10,64,3489621044,3707722404,8596226048,2478035277.547971,0.9411764592287961,1.40822089
AsiaOSM,List,0,0,10,64,3489621044,458719532,8919187456,5690769105.024323,7.607308607037906,0.61320728
AsiaOSM,List,0,0,10,64,3489621044,458719532,8919187456,5375869372.091738,7.607308607037906,0.6491268299999999
AsiaOSM,List,0,0,10,64,3489621044,458719532,8919187456,5639259240.190352,7.607308607037906,0.61880841
AsiaOSM,TreeLowOffset,0,0,10,64,3489621044,457923212,11733565440,3605196431.191125,7.620537576068539,0.9679420000000001
AsiaOSM,TreeLowOffset,0,0,10,64,3489621044,457923212,11733565440,3575416744.193671,7.620537576068539,0.976004
AsiaOSM,TreeLowOffset,0,0,10,64,3489621044,457923212,11733565440,3472525799.489115,7.620537576068539,1.004923
AsiaOSM,Full,0,1,10,64,3489621044,3489621044,4007657472,2954002623.5136843,1.0,1.181319548
AsiaOSM,Full,0,1,10,64,3489621044,3489621044,4007657472,3452174328.639735,1.0,1.010847284
AsiaOSM,Full,0,1,10,64,3489621044,3489621044,4007657472,3334248730.8201323,1.0,1.046598897
AsiaOSM,Basic,0,1,10,64,3489621044,56369448,8596226048,28932134456.674274,61.90624829251477,0.12061402
AsiaOSM,Basic,0,1,10,64,3489621044,56369448,8596226048,32769108615.38017,61.90624829251477,0.10649117999999999
